2026-05-05 19:25:35 | DocProcessingActor | INFO | doc_actor.py:59 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:25:36 | DocProcessingActor | INFO | doc_actor.py:59 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:25:36 | DocProcessingActor | INFO | doc_actor.py:59 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:25:38 | DocProcessingActor | INFO | doc_actor.py:96 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:25:38 | DocProcessingActor | INFO | doc_actor.py:107 | [exp6-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:25:39 | DocProcessingActor | INFO | doc_actor.py:96 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:25:39 | DocProcessingActor | INFO | doc_actor.py:107 | [exp6-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:25:39 | DocProcessingActor | INFO | doc_actor.py:96 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:25:39 | DocProcessingActor | INFO | doc_actor.py:107 | [exp6-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:25:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:25:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:25:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:25:45 | DocProcessingActor | INFO | doc_actor.py:109 | [exp6-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-05 19:25:45 | DocProcessingActor | INFO | doc_actor.py:134 | [exp6-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 19:25:45 | DocProcessingActor | INFO | doc_actor.py:144 | [exp6-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 2043684 bytes
2026-05-05 19:25:45 | DocProcessingActor | INFO | doc_actor.py:189 | [exp6-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
