2026-05-04 22:11:11 | DocProcessingActor | INFO | doc_actor.py:59 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:11:11 | DocProcessingActor | INFO | doc_actor.py:59 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:11:11 | DocProcessingActor | INFO | doc_actor.py:59 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:11:11 | DocProcessingActor | INFO | doc_actor.py:59 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:96 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:107 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:96 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:107 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:96 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:107 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 22:11:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:96 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:11:14 | DocProcessingActor | INFO | doc_actor.py:107 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-04 22:11:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 22:11:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 22:11:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 22:11:21 | DocProcessingActor | INFO | doc_actor.py:109 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 22:11:21 | DocProcessingActor | INFO | doc_actor.py:134 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 22:11:21 | DocProcessingActor | INFO | doc_actor.py:144 | [exp3-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 949964 bytes
2026-05-04 22:11:21 | DocProcessingActor | INFO | doc_actor.py:189 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 22:11:22 | DocProcessingActor | INFO | doc_actor.py:109 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 22:11:22 | DocProcessingActor | INFO | doc_actor.py:134 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 22:11:22 | DocProcessingActor | INFO | doc_actor.py:144 | [exp3-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 687268 bytes
2026-05-04 22:11:22 | DocProcessingActor | INFO | doc_actor.py:189 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 22:11:23 | DocProcessingActor | INFO | doc_actor.py:109 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 22:11:23 | DocProcessingActor | INFO | doc_actor.py:134 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 22:11:23 | DocProcessingActor | INFO | doc_actor.py:144 | [exp3-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 1458732 bytes
2026-05-04 22:11:23 | DocProcessingActor | INFO | doc_actor.py:189 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 22:11:25 | DocProcessingActor | INFO | doc_actor.py:109 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-04 22:11:25 | DocProcessingActor | INFO | doc_actor.py:134 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 22:11:25 | DocProcessingActor | INFO | doc_actor.py:144 | [exp3-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 2357340 bytes
2026-05-04 22:11:25 | DocProcessingActor | INFO | doc_actor.py:189 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 22:11:55 | DocProcessingActor | INFO | doc_actor.py:59 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:11:57 | DocProcessingActor | INFO | doc_actor.py:96 | [exp3-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:11:57 | DocProcessingActor | INFO | doc_actor.py:107 | [exp3-rapidfire-full-evaluation:DocProcessingActor] Building document index...
