2026-05-02 20:35:24 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_4:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:35:24 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_4:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:35:24 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_4:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_4 ended
2026-05-02 20:35:24 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_5:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_4 was forcibly ended. Created a new experiment 'exp0-rapidfire-full-evaluation_5' with Experiment ID: 8 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_5
2026-05-02 20:37:24 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_5:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:37:24 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_5:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:37:24 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_5:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_5 ended
2026-05-02 20:37:24 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_6:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_5 was forcibly ended. Created a new experiment 'exp0-rapidfire-full-evaluation_6' with Experiment ID: 9 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_6
2026-05-02 20:37:59 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_6:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:37:59 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_6:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:37:59 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_6:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_6 ended
2026-05-02 20:37:59 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_7:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_6 was forcibly ended. Created a new experiment 'exp0-rapidfire-full-evaluation_7' with Experiment ID: 10 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_7
2026-05-02 20:38:04 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_7:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:38:04 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_7:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:38:04 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_7:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_7 ended
2026-05-02 20:38:04 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_8:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_7 was forcibly ended. Created a new experiment 'exp0-rapidfire-full-evaluation_8' with Experiment ID: 11 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_8
