2026-05-02 20:48:24 | Controller | INFO | controller.py:1299 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 1 completed shard 2 (1 batches, 8.04s)
2026-05-02 20:48:24 | Controller | INFO | controller.py:1422 | [exp0-rapidfire-full-evaluation_9:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 2 (1 batches)
2026-05-02 20:48:33 | Controller | INFO | controller.py:1299 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 2 completed shard 2 (1 batches, 8.04s)
2026-05-02 20:48:33 | Controller | INFO | controller.py:1422 | [exp0-rapidfire-full-evaluation_9:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-02 20:48:44 | Controller | INFO | controller.py:1192 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 1 completed all 4 shards
2026-05-02 20:48:44 | Controller | INFO | controller.py:1299 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 1 completed shard 3 (1 batches, 9.55s)
2026-05-02 20:48:44 | Controller | INFO | controller.py:1422 | [exp0-rapidfire-full-evaluation_9:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 3 (1 batches)
2026-05-02 20:48:55 | Controller | INFO | controller.py:1192 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 2 completed all 4 shards
2026-05-02 20:48:55 | Controller | INFO | controller.py:1299 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 2 completed shard 3 (1 batches, 9.04s)
2026-05-02 20:48:55 | Controller | INFO | controller.py:1386 | [exp0-rapidfire-full-evaluation_9:Controller] All pipelines completed all shards!
2026-05-02 20:48:55 | Controller | INFO | controller.py:695 | [exp0-rapidfire-full-evaluation_9:Controller] Computing final metrics for all pipelines...
2026-05-02 20:48:55 | Experiment | INFO | metric_rfmetric_manager.py:190 | [exp0-rapidfire-full-evaluation_9:Experiment] Ending run: 845552fb575645ba88dc94e2184abcf8, 1 in rf_mlflow
2026-05-02 20:48:55 | Experiment | WARNING | metric_mlflow_manager.py:101 | [exp0-rapidfire-full-evaluation_9:Experiment] Run 845552fb575645ba88dc94e2184abcf8 is not the active run, no local context to clear
2026-05-02 20:48:55 | Controller | INFO | controller.py:853 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-02 20:48:55 | Experiment | INFO | metric_rfmetric_manager.py:190 | [exp0-rapidfire-full-evaluation_9:Experiment] Ending run: 898749adb97942228af3ccd587dd185c, 2 in rf_mlflow
2026-05-02 20:48:56 | Experiment | WARNING | metric_mlflow_manager.py:101 | [exp0-rapidfire-full-evaluation_9:Experiment] Run 898749adb97942228af3ccd587dd185c is not the active run, no local context to clear
2026-05-02 20:48:56 | Controller | INFO | controller.py:853 | [exp0-rapidfire-full-evaluation_9:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-02 20:55:38 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_9:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 20:55:38 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_9:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 20:55:38 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_9:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_9 ended
2026-05-02 20:55:41 | Experiment | INFO | experiment.py:574 | [exp0-rapidfire-full-evaluation_9:Experiment] All actors shut down
2026-05-02 20:55:41 | Experiment | INFO | experiment.py:575 | [exp0-rapidfire-full-evaluation_9:Experiment] Dispatcher will automatically shut down (daemon thread)
2026-05-02 21:27:27 | Experiment | INFO | experiment.py:165 | [exp0-rapidfire-full-evaluation_10:Experiment] An experiment with the same name already exists. Created a new experiment 'exp0-rapidfire-full-evaluation_10' with Experiment ID: 13 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp0-rapidfire-full-evaluation_10
2026-05-02 21:27:46 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp0-rapidfire-full-evaluation_10:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 21:27:46 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp0-rapidfire-full-evaluation_10:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 21:27:46 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp0-rapidfire-full-evaluation_10:ExperimentUtils] Experiment exp0-rapidfire-full-evaluation_10 ended
2026-05-02 21:27:46 | Experiment | INFO | experiment.py:165 | [exp1-rapidfire-full-evaluation:Experiment] The previously running experiment exp0-rapidfire-full-evaluation_10 was forcibly ended. Created a new experiment 'exp1-rapidfire-full-evaluation' with Experiment ID: 14 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp1-rapidfire-full-evaluation
