2026-05-05 18:52:56 | Experiment | INFO | experiment.py:165 | [exp4-rapidfire-full-evaluation_1:Experiment] An experiment with the same name already exists. Created a new experiment 'exp4-rapidfire-full-evaluation_1' with Experiment ID: 27 at /home/obychenkov/rapidfireai/rapidfire_experiments/exp4-rapidfire-full-evaluation_1
2026-05-05 18:53:21 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp4-rapidfire-full-evaluation_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-05 18:53:21 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp4-rapidfire-full-evaluation_1:Experiment] Creating MLflow experiment: exp4-rapidfire-full-evaluation_1
2026-05-05 18:53:21 | Experiment | INFO | experiment.py:210 | [exp4-rapidfire-full-evaluation_1:Experiment] Initialized MetricLogger experiment: 16
2026-05-05 18:53:21 | Experiment | INFO | experiment.py:226 | [exp4-rapidfire-full-evaluation_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-05 18:53:50 | Experiment | WARNING | experiment.py:381 | [exp4-rapidfire-full-evaluation_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-05 18:53:50 | Experiment | INFO | experiment.py:383 | [exp4-rapidfire-full-evaluation_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 1 actors)
2026-05-05 18:53:50 | Experiment | INFO | experiment.py:392 | [exp4-rapidfire-full-evaluation_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-05 18:53:51 | Controller | INFO | controller.py:895 | [exp4-rapidfire-full-evaluation_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-05 18:53:51 | Controller | INFO | controller.py:900 | [exp4-rapidfire-full-evaluation_1:Controller] Received 8 pipeline configuration(s)
2026-05-05 18:53:51 | Controller | INFO | controller.py:309 | [exp4-rapidfire-full-evaluation_1:Controller] Found 2 unique RAG context(s)
2026-05-05 18:53:51 | Controller | INFO | controller.py:320 | [exp4-rapidfire-full-evaluation_1:Controller] Will build new context 744c9839...
2026-05-05 18:53:51 | Controller | INFO | controller.py:320 | [exp4-rapidfire-full-evaluation_1:Controller] Will build new context fff03b74...
2026-05-05 18:53:51 | Controller | INFO | controller.py:346 | [exp4-rapidfire-full-evaluation_1:Controller] Building 2 context(s) in parallel...
2026-05-05 18:53:51 | Controller | INFO | controller.py:373 | [exp4-rapidfire-full-evaluation_1:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-05 18:53:53 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-05 18:53:54 | Controller | INFO | controller.py:461 | [exp4-rapidfire-full-evaluation_1:Controller] Submitted 2 build task(s) in parallel
2026-05-05 18:54:24 | DocProcessingActor | INFO | doc_actor.py:59 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor initialized
2026-05-05 18:54:24 | DocProcessingActor | INFO | doc_actor.py:59 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor initialized
2026-05-05 18:54:27 | DocProcessingActor | INFO | doc_actor.py:96 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 18:54:27 | DocProcessingActor | INFO | doc_actor.py:107 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] Building document index...
2026-05-05 18:54:27 | DocProcessingActor | INFO | doc_actor.py:96 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 18:54:27 | DocProcessingActor | INFO | doc_actor.py:107 | [exp4-rapidfire-full-evaluation_1:DocProcessingActor] Building document index...
