2026-05-05 19:15:33 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 19:15:33 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 19:15:33 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 19:15:33 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 19:15:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:15:35 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Reusing existing inference engine (config hash: ed38cb6f)
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 19:15:46 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 19:15:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:15:48 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Reusing existing inference engine (config hash: ed38cb6f)
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 19:15:59 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 19:15:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:16:01 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp5-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
