2026-05-04 21:59:48 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:59:49 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:59:49 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:59:49 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor initialized
2026-05-04 21:59:51 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:59:51 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Building document index...
2026-05-04 21:59:51 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:59:51 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Building document index...
2026-05-04 21:59:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:59:52 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:59:52 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Building document index...
2026-05-04 21:59:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:59:52 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 21:59:52 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Building document index...
2026-05-04 21:59:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:59:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Document index built successfully
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Document index built successfully
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] FAISS index serialized: 687268 bytes
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] FAISS index serialized: 949964 bytes
2026-05-04 21:59:57 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Document index built successfully
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] FAISS index serialized: 1458732 bytes
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Document index built successfully
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:144 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] FAISS index serialized: 2357340 bytes
2026-05-04 21:59:59 | DocProcessingActor | INFO | doc_actor.py:189 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 22:00:27 | DocProcessingActor | INFO | doc_actor.py:59 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor initialized
2026-05-04 22:00:30 | DocProcessingActor | INFO | doc_actor.py:96 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 22:00:30 | DocProcessingActor | INFO | doc_actor.py:107 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Building document index...
2026-05-04 22:00:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-04 22:00:34 | DocProcessingActor | INFO | doc_actor.py:109 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Document index built successfully
2026-05-04 22:00:34 | DocProcessingActor | INFO | doc_actor.py:134 | [exp2-rapidfire-full-evaluation_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
