2026-05-02 22:11:07 | DocProcessingActor | INFO | doc_actor.py:59 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor initialized
2026-05-02 22:11:08 | DocProcessingActor | INFO | doc_actor.py:59 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor initialized
2026-05-02 22:11:09 | DocProcessingActor | INFO | doc_actor.py:96 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 22:11:09 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Building document index...
2026-05-02 22:11:10 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 22:11:10 | DocProcessingActor | INFO | doc_actor.py:96 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 22:11:10 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Building document index...
2026-05-02 22:11:10 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 22:11:35 | DocProcessingActor | INFO | doc_actor.py:109 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Document index built successfully
2026-05-02 22:11:35 | DocProcessingActor | INFO | doc_actor.py:134 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 22:11:35 | DocProcessingActor | INFO | doc_actor.py:144 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] FAISS index serialized: 619428 bytes
2026-05-02 22:11:35 | DocProcessingActor | INFO | doc_actor.py:189 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 22:11:36 | DocProcessingActor | INFO | doc_actor.py:109 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Document index built successfully
2026-05-02 22:11:36 | DocProcessingActor | INFO | doc_actor.py:134 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 22:11:36 | DocProcessingActor | INFO | doc_actor.py:144 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] FAISS index serialized: 1276456 bytes
2026-05-02 22:11:36 | DocProcessingActor | INFO | doc_actor.py:189 | [exp1-rapidfire-full-evaluation_5:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 22:11:58 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [exp1-rapidfire-full-evaluation_5:QueryProcessingActor-0] Initializing new inference engine (config hash: 6f7cfa10)
