2026-05-06 20:22:19 | DocProcessingActor | INFO | doc_actor.py:59 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-06 20:22:20 | DocProcessingActor | INFO | doc_actor.py:59 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-06 20:22:21 | DocProcessingActor | INFO | doc_actor.py:59 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-06 20:22:21 | DocProcessingActor | INFO | doc_actor.py:96 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 20:22:21 | DocProcessingActor | INFO | doc_actor.py:107 | [exp8-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-06 20:22:21 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from thenlper/gte-large.
2026-05-06 20:22:21 | DocProcessingActor | INFO | doc_actor.py:96 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 20:22:21 | DocProcessingActor | INFO | doc_actor.py:107 | [exp8-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-06 20:22:22 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-05-06 20:22:22 | DocProcessingActor | INFO | doc_actor.py:59 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-06 20:22:23 | DocProcessingActor | INFO | doc_actor.py:96 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 20:22:24 | DocProcessingActor | INFO | doc_actor.py:107 | [exp8-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-06 20:22:24 | DocProcessingActor | INFO | doc_actor.py:96 | [exp8-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 20:22:24 | DocProcessingActor | INFO | doc_actor.py:107 | [exp8-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-06 20:22:25 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-base-en-v1.5.
2026-05-06 20:22:25 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-06 20:22:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-06 20:22:29 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-06 20:22:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
