2026-05-05 19:51:05 | DocProcessingActor | INFO | doc_actor.py:59 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:51:06 | DocProcessingActor | INFO | doc_actor.py:59 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:51:06 | DocProcessingActor | INFO | doc_actor.py:59 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-05 19:51:07 | DocProcessingActor | INFO | doc_actor.py:96 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:51:07 | DocProcessingActor | INFO | doc_actor.py:107 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:51:08 | DocProcessingActor | INFO | doc_actor.py:96 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:51:08 | DocProcessingActor | INFO | doc_actor.py:107 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:51:08 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-05 19:51:08 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-05 19:51:08 | DocProcessingActor | INFO | doc_actor.py:96 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 19:51:08 | DocProcessingActor | INFO | doc_actor.py:107 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-05 19:51:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:51:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:51:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-05 19:51:14 | DocProcessingActor | INFO | doc_actor.py:109 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-05 19:51:14 | DocProcessingActor | INFO | doc_actor.py:134 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 19:51:14 | DocProcessingActor | INFO | doc_actor.py:144 | [exp7-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 1916540 bytes
2026-05-05 19:51:14 | DocProcessingActor | INFO | doc_actor.py:189 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 19:51:52 | DocProcessingActor | INFO | doc_actor.py:109 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-05 19:51:52 | DocProcessingActor | INFO | doc_actor.py:134 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 19:51:52 | DocProcessingActor | INFO | doc_actor.py:144 | [exp7-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 759420 bytes
2026-05-05 19:51:52 | DocProcessingActor | INFO | doc_actor.py:189 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 19:52:27 | DocProcessingActor | INFO | doc_actor.py:109 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-05 19:52:27 | DocProcessingActor | INFO | doc_actor.py:134 | [exp7-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 19:52:27 | DocProcessingActor | INFO | doc_actor.py:144 | [exp7-rapidfire-full-evaluation:DocProcessingActor] FAISS index serialized: 759420 bytes
2026-05-05 19:52:27 | DocProcessingActor | INFO | doc_actor.py:189 | [exp7-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 19:53:00 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [exp7-rapidfire-full-evaluation:QueryProcessingActor-0] Initializing new inference engine (config hash: 2b304264)
2026-05-05 19:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp7-rapidfire-full-evaluation:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 19:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp7-rapidfire-full-evaluation:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 19:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp7-rapidfire-full-evaluation:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 19:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp7-rapidfire-full-evaluation:QueryProcessingActor-0] Created independent FAISS vector store for this actor
