2026-05-02 21:31:33 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp1-rapidfire-full-evaluation:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 21:31:33 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp1-rapidfire-full-evaluation:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 21:31:33 | Experiment | INFO | experiment.py:165 | [exp1-rapidfire-full-evaluation:Experiment] Experiment exp1-rapidfire-full-evaluation is currently running. Returning the same experiment object.
2026-05-02 21:31:33 | Experiment | INFO | experiment.py:165 | [exp1-rapidfire-full-evaluation:Experiment] Any running tasks have been cancelled.
2026-05-02 21:31:51 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp1-rapidfire-full-evaluation:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 21:31:51 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp1-rapidfire-full-evaluation:Experiment] Creating MLflow experiment: exp1-rapidfire-full-evaluation
2026-05-02 21:31:51 | Experiment | INFO | experiment.py:210 | [exp1-rapidfire-full-evaluation:Experiment] Initialized MetricLogger experiment: 4
2026-05-02 21:31:51 | Experiment | INFO | experiment.py:226 | [exp1-rapidfire-full-evaluation:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 21:32:09 | Experiment | WARNING | experiment.py:381 | [exp1-rapidfire-full-evaluation:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 21:32:09 | Experiment | INFO | experiment.py:383 | [exp1-rapidfire-full-evaluation:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 1 actors)
2026-05-02 21:32:09 | Experiment | INFO | experiment.py:392 | [exp1-rapidfire-full-evaluation:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 21:32:10 | Controller | INFO | controller.py:895 | [exp1-rapidfire-full-evaluation:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 21:32:10 | Controller | INFO | controller.py:900 | [exp1-rapidfire-full-evaluation:Controller] Received 4 pipeline configuration(s)
2026-05-02 21:32:10 | Controller | INFO | controller.py:309 | [exp1-rapidfire-full-evaluation:Controller] Found 2 unique RAG context(s)
2026-05-02 21:32:10 | Controller | INFO | controller.py:320 | [exp1-rapidfire-full-evaluation:Controller] Will build new context 55dbb78d...
2026-05-02 21:32:10 | Controller | INFO | controller.py:320 | [exp1-rapidfire-full-evaluation:Controller] Will build new context e07d7ab8...
2026-05-02 21:32:10 | Controller | INFO | controller.py:346 | [exp1-rapidfire-full-evaluation:Controller] Building 2 context(s) in parallel...
2026-05-02 21:32:10 | Controller | INFO | controller.py:373 | [exp1-rapidfire-full-evaluation:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-02 21:32:11 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-02 21:32:12 | Controller | INFO | controller.py:461 | [exp1-rapidfire-full-evaluation:Controller] Submitted 2 build task(s) in parallel
2026-05-02 21:32:32 | DocProcessingActor | INFO | doc_actor.py:59 | [exp1-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-02 21:32:32 | DocProcessingActor | INFO | doc_actor.py:59 | [exp1-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor initialized
2026-05-02 21:32:34 | DocProcessingActor | INFO | doc_actor.py:96 | [exp1-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 21:32:34 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-02 21:32:34 | DocProcessingActor | INFO | doc_actor.py:96 | [exp1-rapidfire-full-evaluation:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 21:32:34 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-rapidfire-full-evaluation:DocProcessingActor] Building document index...
2026-05-02 21:32:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 21:32:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 21:32:40 | DocProcessingActor | INFO | doc_actor.py:109 | [exp1-rapidfire-full-evaluation:DocProcessingActor] Document index built successfully
2026-05-02 21:32:40 | DocProcessingActor | INFO | doc_actor.py:134 | [exp1-rapidfire-full-evaluation:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
